color,name,japanese,english
0xffd400,蒲公英色 JIS,たんぽぽいろ,
0xcee6c1,淡緑色,たんりょくしょく,
0x6a3300,チェスナット,ちぇすなっと,chestnut
0x6a3300,チェスナットブラウン,ちぇすなっとぶらうん,chestnut brown
0xd9394e,チェリー,ちぇりー,cherry
0xd9394e,チェリーレッド,ちぇりーれっど,cherry red
0xf172a3,チェリーピンク JIS,ちぇりーぴんく,cherry pink
0x97c5b0,千種色,ちぐさいろ,
0x97c5b0,千草色,ちぐさいろ,
0x21a0db,千草色,ちぐさいろ,
0x2b6442,千歳緑,ちとせみどり,
0x2b6442,千歳緑,せんざいみどり,
0xd3e173,チャートリュース,ちゃーとりゅーす,chartreuse
0x3155a6,チャイナブルー,ちゃいなぶるー,china blue
0xf9c1cf,チャイニーズピンク,ちゃいにーずぴんく,Chinese pink
0x1a4472,チャイニーズブルー,ちゃいにーずぶるー,Chinese blue
0xf47a4d,チャイニーズレッド JIS,ちゃいにーずれっど,Chinese red
0x864a2b,茶色 JIS,ちゃいろ,
0x8e3e1f,茶褐色,ちゃかっしょく,
0x4c444d,チャコールグレイ JIS,ちゃこーるぐれい,charcoal gray
0x4c444d,チャコールグレー,ちゃこーるぐれー,charcoal gray
0x9d9087,茶鼠,ちゃねず,
0x9d9087,茶鼠 JIS,ちゃねずみ,
0xffe500,中黄 JIS,ちゅうき,
0xb97e4d,丁子色,ちょうじいろ,
0x90593f,丁子茶,ちょうじちゃ,
0x602d1d,チョコレート JIS,ちょこれーと,chocolate
0x602d1d,チョコレートブラウン,ちょこれーとぶらうん,chocolate brown
0x8e3f61,チリアンパープル,ちりあんぱーぷる,Tyrian purple
0x21a0db,月草色,つきくさいろ,
0x618bad,次縹,つぎのはなだ,
0x618bad,次縹,つぐはなだ,
0xb47142,土色 JIS,つちいろ,
0xef5b9c,躑躅色 JIS,つつじいろ,
0x21a0db,露草色 JIS,つゆくさいろ,
0x515254,橡色,つるばみいろ,
0x1a4472,ディースバッハブルー,でぃーすばっはぶるー,Diesbach blue
0xaf011c,ディープレッド,でぃーぷれっど,Deep red
0x006956,ティールグリーン,てぃーるぐりーん,teal green
0x004864,ティールブルー,てぃーるぶるー,teal blue
0x005344,鉄色 JIS,てついろ,
0x281914,鉄黒 JIS,てつぐろ,
0x0f1a45,鉄紺 JIS,てつこん,
0x6a3427,鉄錆色,てつさびいろ,
0x255668,鉄納戸,てつなんど,
0x255668,鉄御納戸,てつおなんど,
0xb66655,テラコッタ JIS,てらこった,terracotta
0xffcc4e,藤黄,とうおう,
0xfbb034,橙黄色,とうおうしょく,
0xfbb034,橙黄色,とうこうしょく,
0xeec362,玉蜀黍色,とうもろこしいろ,
0x565565,トープ,とーぷ,taupe
0xd0b8bb,ドーンピンク,どーんぴんく,dawn pink
0xf5c9c6,鴇色 JIS,ときいろ,
0xf5c9c6,朱鷺色,ときいろ,
0x007b49,常磐色 JIS,ときわいろ,
0x007b49,常盤色,ときわいろ,
0x38755d,木賊色,とくさいろ,
0x38755d,砥草色,とくさいろ,
0xe3c395,砥粉色,とのこいろ,
